交易ID,E_gen (kWh),E_cons (kWh),时间戳偏移(s),有效性
717,76.8,30.9,-5.9,有效
718,754.1,737.0,0.3,有效
719,449.2,467.7,-1.8,有效
720,740.4,757.4,-8.5,有效
721,288.5,302.6,1.9,有效
722,665.5,627.3,3.6,有效
723,362.3,386.0,-4.9,有效
724,665.1,671.4,8.6,有效
725,519.7,494.4,-8.0,有效
726,623.4,606.2,-6.9,有效
727,650.8,606.1,3.4,有效
728,466.7,421.5,5.3,有效
729,634.4,608.9,-8.8,有效
730,658.4,691.0,1.7,有效
731,636.0,632.9,2.2,有效
732,298.7,314.7,-7.8,有效
733,474.1,490.9,-7.8,有效
734,356.2,342.7,7.7,有效
735,606.7,575.3,0.1,有效
736,348.4,388.9,-0.3,有效
737,478.3,460.5,-3.2,有效
738,32.6,80.9,5.2,有效
739,679.1,690.5,-1.3,有效
740,344.9,346.7,-6.1,有效
741,583.1,535.4,1.6,有效
742,540.3,509.6,-5.2,有效
743,747.0,784.2,-4.4,有效
744,553.9,561.6,-6.6,有效
745,417.1,439.0,9.8,有效
746,256.6,221.3,-4.1,有效
747,314.4,317.3,0.2,有效
748,744.1,771.5,-5.2,有效
749,454.7,480.5,-1.3,有效
750,723.4,763.3,9.7,有效
751,449.4,440.6,2.9,有效
752,730.4,752.0,-9.8,有效
753,576.1,529.3,4.2,有效
754,611.7,592.1,-8.8,有效
755,590.1,598.4,-7.5,有效
756,87.0,98.5,5.3,有效
757,681.4,729.7,7.0,有效
758,268.5,252.8,6.4,有效
759,941.4,959.9,4.3,有效
760,124.9,113.6,-0.5,有效
761,678.8,692.6,-8.9,有效
762,325.6,291.3,8.8,有效
763,462.6,491.5,1.1,有效
764,603.6,554.0,7.4,有效
765,508.8,521.3,4.7,有效
766,677.5,661.2,-5.9,有效
767,286.0,327.9,3.6,有效
768,451.8,425.2,2.5,有效
769,208.7,171.3,-3.8,有效
770,650.0,624.5,3.2,有效
771,415.2,457.3,9.9,有效
772,115.5,72.1,-7.7,有效
773,313.3,340.1,3.9,有效
774,464.9,428.8,5.1,有效
775,272.5,266.6,4.1,有效
776,468.6,496.1,-1.0,有效
777,297.6,303.8,0.5,有效
778,310.2,329.9,-1.0,有效
779,535.4,498.3,8.8,有效
780,270.5,223.3,6.2,有效
781,441.2,391.3,5.4,有效
782,203.6,212.2,-6.5,有效
783,217.3,173.6,-9.0,有效
784,794.5,758.2,6.3,有效
785,144.2,181.1,-3.6,有效
786,690.8,704.9,9.5,有效
787,432.3,472.6,-5.0,有效
788,411.5,445.8,3.5,有效
789,722.3,685.7,-8.3,有效
790,348.8,385.0,2.5,有效
791,311.9,335.0,-7.0,有效
792,406.2,387.5,-6.7,有效
793,631.9,626.5,-6.8,有效
794,667.4,684.9,-9.4,有效
